phase,config,compiler,opt,target_func,candidate_func,model,similarity
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16d70,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16d70,BinCola,-0.202283
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16d70,CLAP,0.105055
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16d70,jTrans,0.238668
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16d70,safe,0.000000
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16500,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16500,BinCola,-0.161346
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16500,CLAP,0.017633
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16500,jTrans,0.238668
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16500,safe,0.000000
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,FUN_167b0,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,FUN_167b0,BinCola,-0.159479
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,FUN_167b0,CLAP,-0.032694
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,FUN_167b0,jTrans,0.238668
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,FUN_167b0,safe,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,SSL_get_cipher_list,asm2vec,0.365427
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,SSL_get_cipher_list,BinCola,-0.056605
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,SSL_get_cipher_list,CLAP,0.047491
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,SSL_get_cipher_list,jTrans,0.250032
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,SSL_get_cipher_list,safe,0.347686
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_16656,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_16656,BinCola,0.000000
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_16656,CLAP,0.000000
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_16656,jTrans,0.000000
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_16656,safe,0.000000
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_16bd6,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_16bd6,BinCola,0.000000
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_16bd6,CLAP,0.000000
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_16bd6,jTrans,0.000000
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_16bd6,safe,0.000000
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16d70,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16d70,BinCola,-0.080877
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16d70,CLAP,0.021195
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16d70,jTrans,0.295517
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16d70,safe,0.140341
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_18570,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_18570,BinCola,0.010102
